Network,Station,Instrument_code,HVSR@f=0.100Hz,HVSR@f=0.121Hz,HVSR@f=0.145Hz,HVSR@f=0.175Hz,HVSR@f=0.210Hz,HVSR@f=0.253Hz,HVSR@f=0.305Hz,HVSR@f=0.367Hz,HVSR@f=0.442Hz,HVSR@f=0.532Hz,HVSR@f=0.640Hz,HVSR@f=0.771Hz,HVSR@f=0.928Hz,HVSR@f=1.117Hz,HVSR@f=1.344Hz,HVSR@f=1.618Hz,HVSR@f=1.948Hz,HVSR@f=2.345Hz,HVSR@f=2.823Hz,HVSR@f=3.398Hz,HVSR@f=4.090Hz,HVSR@f=4.923Hz,HVSR@f=5.926Hz,HVSR@f=7.134Hz,HVSR@f=8.588Hz,HVSR@f=10.337Hz,HVSR@f=12.444Hz,HVSR@f=14.979Hz,HVSR@f=18.031Hz,HVSR@f=21.705Hz,HVSR@f=26.127Hz,HVSR@f=31.451Hz,HVSR@f=37.859Hz,HVSR@f=45.572Hz
2F,TB007,HH,0.9704690890333966,1.148357724665575,0.7092582135717894,0.7181001252556515,0.7083126952840436,0.9219018702704428,0.7370073443041886,0.7371430082145075,0.8619532094549504,0.7644996883949889,0.700639235771316,0.6893145141758595,0.7123569282220951,1.019234287863413,1.093669578544942,1.090468303305507,1.308500846187075,1.217879756156931,1.356000229448016,1.645793598255545,1.894127722339619,2.657279825223181,2.34606412401057,1.801001299455802,1.397554513259727,1.382754073861895,0.6969093564693657,0.5442726357138903,0.9267386919335656,1.050004737971532,1.079145949611556,1.0179114247048,0.9762241766944676,0.9266916877045908
2F,TB009,HH,0.9050632995511352,0.7631864206391725,0.8369941048644343,0.8821804935909918,0.8870809533174093,0.8731348307291814,0.9425495185274122,0.9088406937908852,0.8257759973307153,0.7584848575671632,0.6871110713488665,0.6692011599110064,0.7563103972654992,0.9950427914442336,1.394678872432015,2.251346406145416,3.295555139019584,2.459673124881195,1.788026416657251,1.593537522525721,1.306133100469062,1.051822816566893,1.177874593507833,1.137946393740212,1.404082942747631,1.399744383445706,1.319416334050064,0.9539855167125166,0.9335898320482392,1.122870977418861,1.375085586862333,1.175144641369873,1.03401920433831,0.9503434475956748
2F,TB010,HH,0.7020013376182593,0.6470265829528429,0.8687058446434719,0.7157562262782939,0.7656539403674065,0.5827917605610411,0.8679194837491837,0.8729672419379342,0.9407911817436128,0.9744255196456328,0.7759856174283951,0.7868706048699415,0.6643584481518268,0.807997898736295,0.949975409612648,1.090628251632374,1.349013105400032,2.20360862311516,2.197294225729341,1.667569824253374,1.217539673344261,1.009236951510723,0.9755259079621488,1.042172839537235,1.384675613680837,1.261086871768287,1.229467736641373,0.8814907190082322,0.8349960311098212,0.8204945968274187,0.439260721705395,0.4301268758612816,0.5705306606159126,0.9103999639161772
2F,TB011,HH,2.141754690339793,1.416671598994404,1.275430020993353,1.623694841683209,1.584828640962559,1.650877087426853,2.0213880176486,1.935868149260213,1.393235939303294,1.013582341804249,0.9798289402900824,0.8867917593374833,1.051180795426798,1.294832967751975,1.348932111510195,1.307449213788306,1.666324203976173,2.063544526613368,2.227487544525146,1.867943078055661,1.787295291579414,1.466444514919108,1.063719092173069,0.9995619384253884,1.006448616974012,0.9780362713352824,0.9510958964504872,0.6915544133011714,0.708171793874771,0.7144855405670801,0.993506095368063,0.9680504508772038,0.957030270617893,0.9269707400933492
2F,TB012,HH,2.218786161808507,1.871182721018015,1.557066361241395,1.313637370643006,1.325204337898088,1.638061042695176,1.48471034940798,1.489272562039335,1.572265315686445,1.625108066450462,1.406422053028355,1.452239285129182,1.497935348735641,1.715158018853022,2.25321160995589,1.865499280024509,1.16115081705336,1.230024311074636,1.339101155876438,1.21063981535883,1.026695393442448,1.062616134189599,0.7409834857506702,0.7293790429270047,1.029489995403615,0.9401384846663592,0.9091988405869592,0.927993012396844,0.9660992353193194,1.086986191272154,1.291067139564212,1.39847805950132,0.9388383000041408,0.9336803067846065
2F,TB015,HH,1.704631365070778,1.730011799241031,1.934898186085997,1.80093691077667,1.11077630020443,1.130614798834157,1.53243500897838,1.845094566999834,2.270235678114811,2.592114428604522,1.801694702990457,1.477390918730172,1.072830771682079,0.978009107921074,0.9592711143860402,1.12575017414794,1.080518575422801,1.235511575816559,1.420734840311102,1.358561121857907,1.508169318497833,1.573504703455249,1.640129050828425,1.252028679037981,1.011082207947259,0.7058157926080751,0.4393373252454285,0.457197190621998,0.5457443203316821,0.4660134079341413,0.4938390291780671,0.476024684377825,0.4526059651203828,0.8646669377528363
2F,TB016,HH,1.889211899902552,1.800288152879564,2.81756917098862,2.959900184831431,2.038744987059419,1.443141589493506,1.185195989784756,1.433509052824746,1.782740344851986,1.638088474110397,1.988524216977429,1.467405285003831,1.25726854499516,0.9846259509824198,1.303674606022435,1.505707414480491,2.115442692055093,2.583594711932513,1.576437621363635,1.045310244342338,1.069608476980215,0.966308774469308,0.6272888113505373,0.4151640482427922,0.3856635310432648,0.3733217326097624,0.2973540675836559,0.3265863945417613,0.3956928533060657,0.4939738506737795,0.6621789086850343,0.4483471190889012,0.3420769403224945,0.8834653717474301
2F,TB017,HH,1.531908541805873,1.846438668799002,2.470220332057715,2.708530403013294,2.214221358847135,1.584484684667836,1.111502419453689,1.232786352873378,1.348294440560035,1.588976345089892,1.463413152769958,1.475875509092966,1.422616118959291,1.219478394780179,1.357514218212616,1.190711693574376,1.369675304155622,1.321310677547326,1.132632746308613,1.144978836480909,0.947231642918312,0.9298942542770318,0.7312834702115573,0.5787626691307318,0.4835117747715614,0.4282936769442287,0.390381461819663,0.2953003610848075,0.3193132032457662,0.3473681099698353,0.4208840462071458,0.6248400644168483,0.7473941284614376,0.916094819987922
2F,TB019,HH,1.124454489086523,0.9245866082272386,0.790037215116651,0.886592448952754,1.1703496689884,1.292408006213481,1.267653239972623,1.326288641201528,1.264519480471049,1.434068968754532,1.625129728728493,1.760963871463197,1.956341207675998,1.431335325887874,1.44661725155402,1.043642429682711,1.531112992630089,1.520726494717809,1.693972298410679,1.682805104585484,1.409350746047116,1.539594102215247,1.942044587696365,2.928304079210013,2.191278165160035,1.292677406366294,1.014872735734489,1.407596030189681,1.982233390807744,1.313983145640775,0.7999492136460643,0.4353612565291042,0.5156947191985853,0.9388132148283412
2F,TB020,HH,0.7579979676930109,0.8566441779630399,0.900856652927122,1.000667130196058,1.127357600467558,1.421922909670747,1.374782187061667,1.426039008480182,1.392198439420247,1.570681746294801,1.777983934576223,1.990062880675133,2.195779193607831,1.994937258827901,1.461787783321393,1.629648582056377,1.995046908670902,2.038303112876856,1.351152516451606,1.580541065344782,1.572952666338247,1.38861130494768,0.9018763194800016,0.5949612462651603,0.4806971946864563,0.4769636804700343,0.481958515064857,0.4915888536718132,0.5160065658523515,0.5605352097649177,0.708233389478304,0.8251842888581594,1.092222059276881,0.9331702842297792
